game_id,date_time,game_end,team,q1,q2,q3,q4,total,category,total (bins)
1065,05/06/2022 09:45:00,FT,BaobabBlazers,16,16,19,15,66,HOME,64.28571429
1066,04/06/2022 16:35:00,FT,ZetechUniversity,18,12,10,11,51,HOME,50
1067,04/06/2022 14:45:00,FT,Blades,8,18,28,19,73,HOME,71.42857143
1068,20/02/2022 14:00:00,FT,ANU,16,16,22,2,56,HOME,50
1069,19/02/2022 14:10:00,FT,ZetechUniversity,18,18,20,23,79,HOME,78.57142857
1071,13/02/2022 12:05:00,FT,ANU,23,11,19,15,68,HOME,64.28571429
1072,06/02/2022 16:50:00,FT,Blades,12,22,13,22,69,HOME,64.28571429
1073,06/02/2022 14:40:00,FT,EquityBank,23,13,29,13,78,HOME,71.42857143
1074,06/02/2022 08:40:00,FT,KenyaMorans,21,22,20,21,84,HOME,78.57142857
1075,05/02/2022 16:40:00,FT,KPA,11,21,13,9,54,HOME,50
1076,05/02/2022 14:30:00,FT,Ulinzi,24,8,24,8,64,HOME,57.14285714
1077,05/02/2022 08:30:00,FT,ANU,16,25,19,12,72,HOME,71.42857143
1078,30/01/2022 16:05:00,FT,Terror,6,14,7,18,45,HOME,42.85714286
1079,30/01/2022 14:15:00,FT,Lakeside,13,13,20,21,67,HOME,64.28571429
1080,29/01/2022 16:15:00,FT,KPA,21,22,28,16,87,HOME,85.71428571
1081,29/01/2022 16:10:00,FT,Blades,13,15,19,14,61,HOME,57.14285714
1082,29/01/2022 14:10:00,FT,EquityBank,16,17,17,9,59,HOME,57.14285714
1083,29/01/2022 12:25:00,FT,Ulinzi,19,13,23,22,77,HOME,71.42857143
1084,29/01/2022 08:40:00,FT,Jkuat,21,19,25,22,87,HOME,85.71428571
1085,23/01/2022 16:05:00,FT,EquityBank,16,18,19,14,67,HOME,64.28571429
1086,22/01/2022 16:15:00,FT,NairobiCityThunder,9,5,10,15,39,HOME,35.71428571
1087,22/01/2022 08:50:00,FT,MAB,16,22,18,18,74,HOME,71.42857143
1089,05/12/2021 11:05:00,FT,Shootforlife,12,17,20,11,60,HOME,57.14285714
1090,04/12/2021 11:00:00,FT,Nebulas,20,14,5,24,63,HOME,57.14285714
1091,04/12/2021 09:10:00,FT,Jkuat,19,18,20,26,83,HOME,78.57142857
1092,28/11/2021 16:10:00,FT,NairobiCityThunder,11,17,17,17,62,HOME,57.14285714
1093,28/11/2021 14:10:00,FT,Ulinzi,11,26,15,28,80,HOME,78.57142857
1095,21/11/2021 16:15:00,FT,NairobiCityThunder,16,10,13,19,58,HOME,57.14285714
1096,21/11/2021 14:20:00,FT,KCA-U,4,13,10,11,38,HOME,35.71428571
1097,21/11/2021 11:40:00,FT,KenyaMorans,26,13,10,14,63,HOME,57.14285714
1098,20/11/2021 12:10:00,FT,KCA-U,18,9,8,13,48,HOME,42.85714286
1099,14/11/2021 08:50:00,FT,Jkuat,12,16,14,16,58,HOME,57.14285714
1100,13/11/2021 17:10:00,FT,Terror,14,18,17,11,60,HOME,57.14285714
1101,13/11/2021 09:00:00,FT,MAB,14,10,18,17,59,HOME,57.14285714
1102,07/11/2021 16:35:00,FT,NairobiCityThunder,12,20,13,19,64,HOME,57.14285714
1103,07/11/2021 16:15:00,FT,KPA,27,16,16,31,90,HOME,85.71428571
1104,07/11/2021 14:50:00,FT,Blades,16,12,15,19,62,HOME,57.14285714
1105,07/11/2021 13:35:00,FT,EquityBank,20,13,24,14,71,HOME,64.28571429
1106,07/11/2021 12:45:00,FT,BaobabBlazers,12,13,16,18,59,HOME,57.14285714
1107,06/11/2021 15:30:00,FT,NairobiCityThunder,12,7,18,16,53,HOME,50
1108,06/11/2021 13:50:00,FT,Blades,4,15,15,18,52,HOME,50
1109,06/11/2021 12:10:00,FT,Emyba,8,17,11,15,51,HOME,50
1110,06/11/2021 09:00:00,FT,KenyaMorans,6,12,24,7,49,HOME,42.85714286
1111,31/10/2021 17:15:00,FT,Blades,13,15,11,19,58,HOME,57.14285714
1112,31/10/2021 15:40:00,FT,EquityBank,14,19,17,19,69,HOME,64.28571429
1113,31/10/2021 08:45:00,FT,Jkuat,13,21,17,30,81,HOME,78.57142857
1114,30/10/2021 16:30:00,FT,EquityBank,19,10,14,27,70,HOME,64.28571429
1115,24/10/2021 16:05:00,FT,EquityBank,10,13,21,13,57,HOME,50
1116,24/10/2021 10:55:00,FT,Blades,14,25,21,11,71,HOME,64.28571429
1118,23/10/2021 12:00:00,FT,Umoja,11,12,14,6,43,HOME,42.85714286
1120,10/10/2021 15:05:00,FT,Pirates,11,13,23,16,63,HOME,57.14285714
1121,03/10/2021 14:20:00,FT,Terror,22,6,10,15,53,HOME,50
1122,03/10/2021 08:55:00,FT,Neosasa,11,13,24,12,60,HOME,57.14285714
1123,19/09/2021 14:05:00,FT,Terror,11,10,10,4,35,HOME,28.57142857
1129,13/03/2021 17:45:00,FT,KCA-U,15,4,10,13,42,HOME,35.71428571
1000,05/03/2023 16:45:00,FT,Terror,10,13,15,14,52,AWAY,50
1001,12/02/2023 17:30:00,FT,Eldonets,18,18,14,12,62,AWAY,57.14285714
1002,05/02/2023 17:35:00,FT,ANU,3,14,15,13,45,AWAY,42.85714286
1003,05/02/2023 15:30:00,FT,Umoja,17,16,4,10,47,AWAY,42.85714286
1004,29/01/2023 16:30:00,FT,Lakeside,17,14,5,16,52,AWAY,50
1005,22/01/2023 16:10:00,FT,EquityBank,19,15,9,19,62,AWAY,57.14285714
1006,21/01/2023 16:00:00,FT,Ulinzi,11,21,9,15,56,AWAY,50
1007,11/12/2022 16:40:00,FT,Blades,11,16,11,18,56,AWAY,50
1008,11/12/2022 14:40:00,FT,Ulinzi,7,16,8,24,55,AWAY,50
1009,27/11/2022 17:00:00,FT,EquityBank,20,16,25,12,73,AWAY,71.42857143
1010,27/11/2022 15:00:00,FT,Ulinzi,10,18,23,16,67,AWAY,64.28571429
1011,26/11/2022 14:55:00,FT,ZetechUniversity,7,17,8,9,41,AWAY,35.71428571
1013,13/11/2022 14:05:00,FT,Blades,16,11,18,14,59,AWAY,57.14285714
1014,06/11/2022 17:30:00,FT,NairobiCityThunder,16,17,17,15,65,AWAY,64.28571429
1015,30/10/2022 16:25:00,FT,Terror,16,12,5,19,52,AWAY,50
1016,29/10/2022 15:00:00,FT,Pirates,10,10,19,22,61,AWAY,57.14285714
1017,16/10/2022 15:30:00,FT,ZetechUniversity,15,14,17,9,55,AWAY,50
1018,09/10/2022 15:00:00,FT,Umoja,9,8,10,22,49,AWAY,42.85714286
1019,02/10/2022 16:45:00,FT,Pirates,18,14,19,12,63,AWAY,57.14285714
1020,02/10/2022 15:00:00,FT,Eldonets,7,13,15,13,48,AWAY,42.85714286
1021,02/10/2022 13:15:00,FT,Lakeside,9,16,14,22,61,AWAY,57.14285714
1022,01/10/2022 15:00:00,FT,Lakeside,13,22,12,10,57,AWAY,50
1024,24/09/2022 16:00:00,FT,Blades,16,10,25,12,63,AWAY,57.14285714
1025,18/09/2022 16:10:00,FT,Terror,24,19,18,17,78,AWAY,71.42857143
1027,11/09/2022 16:15:00,FT,EquityBank,29,16,15,12,72,AWAY,71.42857143
1029,04/09/2022 16:25:00,FT,KPA,14,20,18,27,79,AWAY,78.57142857
1030,04/09/2022 14:50:00,FT,Lakeside,10,12,16,8,46,AWAY,42.85714286
1031,04/09/2022 13:25:00,FT,Blades,21,16,19,12,68,AWAY,64.28571429
1032,03/09/2022 16:35:00,FT,KPA,12,15,23,19,69,AWAY,64.28571429
1033,03/09/2022 14:55:00,FT,Lakeside,5,16,11,10,42,AWAY,35.71428571
1035,31/07/2022 16:25:00,FT,ANU,12,16,10,13,51,AWAY,50
1036,31/07/2022 14:15:00,FT,Pirates,15,14,20,13,62,AWAY,57.14285714
1037,30/07/2022 16:00:00,FT,Terror,20,14,16,16,66,AWAY,64.28571429
1038,30/07/2022 14:15:00,FT,EquityBank,19,20,18,26,83,AWAY,78.57142857
1040,24/07/2022 15:05:00,FT,Eldonets,16,12,29,16,73,AWAY,71.42857143
1041,24/07/2022 10:05:00,FT,Shootforlife,18,19,7,7,51,AWAY,50
1042,23/07/2022 17:30:00,FT,Eldonets,16,16,17,16,65,AWAY,64.28571429
1043,23/07/2022 08:25:00,FT,Shootforlife,13,15,18,16,62,AWAY,57.14285714
1044,17/07/2022 16:25:00,FT,KPA,11,14,13,19,57,AWAY,50
1045,17/07/2022 14:30:00,FT,Lakeside,11,12,12,11,46,AWAY,42.85714286
1046,16/07/2022 17:10:00,FT,KPA,16,19,11,16,62,AWAY,57.14285714
1047,16/07/2022 15:35:00,FT,Lakeside,6,8,8,8,30,AWAY,28.57142857
1048,10/07/2022 16:35:00,FT,Terror,14,16,10,7,47,AWAY,42.85714286
1049,09/07/2022 16:00:00,FT,Umoja,19,27,11,9,66,AWAY,64.28571429
1050,03/07/2022 16:50:00,FT,Terror,10,14,8,14,46,AWAY,42.85714286
1051,03/07/2022 15:45:00,FT,Umoja,9,14,24,11,77,AWAY,71.42857143
1052,02/07/2022 16:05:00,FT,Ulinzi,15,10,9,13,47,AWAY,42.85714286
1053,02/07/2022 14:30:00,FT,ZetechUniversity,13,14,10,21,58,AWAY,57.14285714
1054,02/07/2022 11:00:00,FT,KCA-U,11,11,13,18,53,AWAY,50
1055,26/06/2022 16:10:00,FT,KPA,10,21,18,14,63,AWAY,57.14285714
1056,26/06/2022 14:10:00,FT,EquityBank,9,16,11,16,52,AWAY,50
1058,25/06/2022 16:25:00,FT,KPA,14,17,14,9,54,AWAY,50
1060,19/06/2022 16:05:00,FT,ANU,16,21,14,15,66,AWAY,64.28571429
1062,12/06/2022 16:00:00,FT,ANU,14,12,14,21,61,AWAY,57.14285714
1063,12/06/2022 14:05:00,FT,Eldonets,8,5,28,11,52,AWAY,50
1064,05/06/2022 16:30:00,FT,NairobiCityThunder,26,13,14,16,69,AWAY,64.28571429
1065,05/06/2022 09:45:00,FT,Jkuat,17,21,28,24,90,AWAY,85.71428571
1066,04/06/2022 16:35:00,FT,Ulinzi,20,11,19,21,71,AWAY,64.28571429
1067,04/06/2022 14:45:00,FT,Umoja,18,18,8,21,65,AWAY,64.28571429
1068,20/02/2022 14:00:00,FT,ZetechUniversity,15,28,19,4,66,AWAY,64.28571429
1069,19/02/2022 14:10:00,FT,ANU,19,13,15,26,73,AWAY,71.42857143
1071,13/02/2022 12:05:00,FT,KenyaMorans,14,23,16,13,66,AWAY,64.28571429
1072,06/02/2022 16:50:00,FT,Ulinzi,15,15,30,19,79,AWAY,78.57142857
1073,06/02/2022 14:40:00,FT,KPA,15,21,14,16,66,AWAY,64.28571429
1074,06/02/2022 08:40:00,FT,ANU,22,23,18,24,87,AWAY,85.71428571
1075,05/02/2022 16:40:00,FT,EquityBank,13,16,17,18,64,AWAY,57.14285714
1076,05/02/2022 14:30:00,FT,Blades,14,12,16,7,49,AWAY,42.85714286
1077,05/02/2022 08:30:00,FT,KenyaMorans,12,13,8,21,54,AWAY,50
1078,30/01/2022 16:05:00,FT,EquityBank,23,21,12,22,78,AWAY,71.42857143
1079,30/01/2022 14:15:00,FT,Ulinzi,21,28,18,19,86,AWAY,85.71428571
1080,29/01/2022 16:15:00,FT,Eldonets,8,19,13,13,53,AWAY,50
1081,29/01/2022 16:10:00,FT,NairobiCityThunder,5,14,16,18,53,AWAY,50
1082,29/01/2022 14:10:00,FT,Terror,13,10,8,4,35,AWAY,28.57142857
1083,29/01/2022 12:25:00,FT,Lakeside,13,6,17,21,57,AWAY,50
1084,29/01/2022 08:40:00,FT,KisiiRaptors,11,20,9,17,57,AWAY,50
1085,23/01/2022 16:05:00,FT,Terror,16,14,15,26,71,AWAY,64.28571429
1086,22/01/2022 16:15:00,FT,Blades,18,16,15,19,68,AWAY,64.28571429
1087,22/01/2022 08:50:00,FT,Mustangs,16,17,15,14,62,AWAY,57.14285714
1089,05/12/2021 11:05:00,FT,BaobabBlazers,12,13,9,25,59,AWAY,57.14285714
1090,04/12/2021 11:00:00,FT,BaobabBlazers,17,14,11,13,55,AWAY,50
1091,04/12/2021 09:10:00,FT,Shootforlife,18,13,14,16,61,AWAY,57.14285714
1092,28/11/2021 16:10:00,FT,KCA-U,8,7,8,12,35,AWAY,28.57142857
1093,28/11/2021 14:10:00,FT,Lakeside,14,18,18,20,70,AWAY,64.28571429
1095,21/11/2021 16:15:00,FT,Blades,13,9,20,12,54,AWAY,50
1096,21/11/2021 14:20:00,FT,Emyba,19,13,6,21,59,AWAY,57.14285714
1097,21/11/2021 11:40:00,FT,CoastalKings,17,16,12,20,65,AWAY,64.28571429
1098,20/11/2021 12:10:00,FT,Umoja,16,20,5,17,58,AWAY,57.14285714
1099,14/11/2021 08:50:00,FT,BaobabBlazers,13,10,21,12,56,AWAY,50
1100,13/11/2021 17:10:00,FT,Pirates,17,16,18,21,72,AWAY,71.42857143
1101,13/11/2021 09:00:00,FT,BaobabBlazers,4,13,18,17,52,AWAY,50
1102,07/11/2021 16:35:00,FT,Ulinzi,13,16,8,19,56,AWAY,50
1103,07/11/2021 16:15:00,FT,Lakeside,15,16,15,16,62,AWAY,57.14285714
1104,07/11/2021 14:50:00,FT,Eldonets,8,11,26,14,59,AWAY,57.14285714
1105,07/11/2021 13:35:00,FT,Emyba,6,2,12,21,41,AWAY,35.71428571
1106,07/11/2021 12:45:00,FT,KisiiRaptors,23,20,2,26,71,AWAY,64.28571429
1107,06/11/2021 15:30:00,FT,Eldonets,9,15,14,4,42,AWAY,35.71428571
1108,06/11/2021 13:50:00,FT,Ulinzi,18,15,12,19,64,AWAY,57.14285714
1109,06/11/2021 12:10:00,FT,Pirates,14,11,25,19,69,AWAY,64.28571429
1110,06/11/2021 09:00:00,FT,ZetechUniversity,18,16,19,14,67,AWAY,64.28571429
1111,31/10/2021 17:15:00,FT,Terror,9,21,15,9,54,AWAY,50
1112,31/10/2021 15:40:00,FT,Emyba,16,12,6,13,47,AWAY,42.85714286
1113,31/10/2021 08:45:00,FT,LittlePrince,9,10,11,6,36,AWAY,35.71428571
1114,30/10/2021 16:30:00,FT,Blades,18,13,12,18,61,AWAY,57.14285714
1115,24/10/2021 16:05:00,FT,KPA,10,13,17,23,63,AWAY,57.14285714
1116,24/10/2021 10:55:00,FT,Lakeside,15,14,9,28,66,AWAY,64.28571429
1118,23/10/2021 12:00:00,FT,Lakeside,10,9,20,8,47,AWAY,42.85714286
1120,10/10/2021 15:05:00,FT,NairobiCityThunder,17,7,22,35,81,AWAY,78.57142857
1121,03/10/2021 14:20:00,FT,Ulinzi,11,4,16,25,56,AWAY,50
1122,03/10/2021 08:55:00,FT,Mustangs,12,14,11,18,55,AWAY,50
1123,19/09/2021 14:05:00,FT,EquityBank,13,22,24,9,68,AWAY,64.28571429
1129,13/03/2021 17:45:00,FT,Ulinzi,28,22,18,28,96,AWAY,92.85714286
